antibiotic	measurement_value	resistant_phenotype	evidence	genome_id	genome_name	laboratory_typing_method	taxon_id	measurement_sign	measurement_unit
ceftazidime	256	Resistant	Laboratory Method	470.2167	Acinetobacter baumannii A100	Broth dilution	470		mg/L
ceftriaxone	64	Resistant	Laboratory Method	470.8090	Acinetobacter baumannii strain MRSN899	Broth dilution	470	>=	mg/L
gentamicin		Resistant	Laboratory Method	470.16290	Acinetobacter baumannii UV_1897	Disk diffusion	470		
tobramycin		Resistant	Laboratory Method	470.5308	Acinetobacter baumannii strain Lah-14		470		
gentamicin	8	Resistant	Laboratory Method	470.7561	Acinetobacter baumannii strain MRSN1738	Broth dilution	470	>	mg/L
amikacin		Resistant	Laboratory Method	470.748	Acinetobacter baumannii ABUH24366		470		
cefotetan	64	Resistant	Laboratory Method	470.8049	Acinetobacter baumannii strain MRSN7792	Broth dilution	470	>=	mg/L
tetracycline	8	Resistant	Laboratory Method	470.7562	Acinetobacter baumannii strain MRSN1966	Broth dilution	470	>	mg/L
ceftazidime		Resistant	Laboratory Method	470.16349	Acinetobacter baumannii 344_an	Disk diffusion	470		
ticarcillin	128	Resistant	Laboratory Method	470.2257	Acinetobacter baumannii strain CCF21		470	>=	mg/L
cefotaxime		Resistant	Laboratory Method	470.649	Acinetobacter baumannii ABUH381482		470		
cefotaxime		Resistant	Laboratory Method	470.628	Acinetobacter baumannii ABUH392659		470		
tetracycline	8	Resistant	Laboratory Method	470.7439	Acinetobacter baumannii strain MRSN11708	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.4748	Acinetobacter baumannii strain AR_0088	Broth dilution	470	>	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7619	Acinetobacter baumannii strain MRSN7130	Broth dilution	470	>	mg/L
imipenem		Resistant	Laboratory Method	470.24270	Acinetobacter baumannii 20200622_MGL_62	Disk diffusion	470		
gentamicin	16	Resistant	Laboratory Method	470.8079	Acinetobacter baumannii strain MRSN888	Broth dilution	470	>=	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.8025	Acinetobacter baumannii strain MRSN7731	Broth dilution	470	>	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.24274	Acinetobacter baumannii MGL_175	Disk diffusion	470		
cefotaxime	32	Resistant	Laboratory Method	470.7892	Acinetobacter baumannii strain MRSN7509	Broth dilution	470	>	mg/L
ceftriaxone		Resistant	Laboratory Method	470.16323	Acinetobacter baumannii 221_c	Disk diffusion	470		
